序号,chain,key word,level
13,澳洲的神奇玩意：容易干涩疲劳的姐妹都去吃!我就每晚两颗，现在眼睛感觉好多了!!上班一天对着电脑12小时都没那么疲劳了，感觉眼神里的班味都没那么重了，跟注入了灵魂一样灵动，素颜也没有那种熬大夜活人微s的疲惫感!!!,12小时不疲劳、注入灵魂,2
14,查了一下里面主要是蓝莓、叶黄素、玉米黄素这类对眼睛巨好的成分，可以缓解眼睛疲劳抗蓝光!对我这种整天要对着电脑蓝光，熬夜玩手机的人改善感很明显!,抗蓝光、改善明显,2
15,amerrition【2月底一至今】快吃完两瓶了，起效比想象中快。我是期未天天赶论文+刷剧，连吃了一周，明显感觉眼睛不容易干，而且熬夜后眼白没那么红了。最惊喜的是，有时候看久了屏幕突然抬头，眼前那种糊糊的感觉减轻了很多，眼睛没那么容易乏。,缓解干眼、减少模糊,1
16,吃完了三罐叶黄素软糖，感觉到眼睛的变化。从两年前就买了这个山姆的叶黄素软糖吃，据说能让眼睛亮亮的还有对视力有保养的好处。,眼睛亮亮、视力保养,1
17,又跟着朋友推荐入了inne视立棒，说是专门给我家这样6岁以上的孩子吃的。能补充叶黄素防蓝光 目还有针对眼疲劳的花青素，买来吃了几个月了，效果还可以吧。,儿童护眼、防蓝光,1
18,优思益叶黄素：这个是蓝莓味道的，吃了一段时间感觉眼睛没有那么干、涩了，胶囊颗粒的也方便吞咽，成分简单温和，日常护眼刚刚好。,不干涩、日常护眼,1
19,qinm叶黄素这个是游离态叶黄素，容易被人体肠胃吸收，还是黄金比例5:1的共晶叶黄素和玉米黄质，可以给眼睛黄斑区补充营养，帮助控制视力度数从而改善散光。吃了一个周期的，感觉看东西清x了，之前稍微看的久一点就会模糊。,控制视力度数、改善散光,3
20,澳佳宝叶黄素这款也是大牌子了，品控啥的还可以，颗粒大小合适方便吞咽，可以用来日常基础补充，吃完不经常觉得眼睛干涩了，还能明显感觉到眼睛更水润了。,基础补充、更水润,1
21,优思益用来日常营养补充;qinm用来改善散光;澳佳宝适合眼睛干涩。,改善散光（产品对比）,3
22,还特别添加了欧洲蓝莓、葡萄籽和VC帮助抗氧化，给眼睛清除自由基，藻油 DHA和小米草的组合，滋养的工作完成的特别完美!时刻让双眼保持清爽!,清除自由基、滋养眼睛,2
23,之前感觉这种软糖'都是智商税，每天手机、ipad的，用眼过度，眼睛经常出现红血丝和流泪现象，听说这个含叶黄素和玉米黄质对眼睛有好处，又把自己当白老鼠、试了一段时间，每天一粒，(有点好吃，一粒总觉得不过瘾念然)吃了一个多月，感觉好像有点效果，现在最起码眼睛不怎么流泪了，还亮了好多...,眼睛变亮、不流泪,2
24,两者都是蓝莓叶黄素护眼软糖。澳洲优思益Youthit是去年直播买的，吃了一年感觉一点效果都没有。年底疫情爆发，买vc的时候看到了北京同仁堂的这款，价格很便宜，本是基于凑单买的，谁知道见效是真的快...晚餐后吃2颗，没多久就会感到眼睛不酸了，真的很神奇!,见效快、很神奇,2
25,"Amerrition这瓶(右)是我年后重点做功课入的，看中的就是它详情页里强调的""共晶叶黄素""，纯度有60%，吸收效率高...大概半瓶左右，就感觉下午眼睛的耐力变强了，没那么容易酸，看东西的模糊感也减轻不少。",吸收效率高、模糊感减轻,2
26,德国双心蓝莓叶黄素软胶囊：天天玩手机，眼睛干涩发痒，叶黄素+玉米黄素+蓝莓萃取，吃了半个月，感觉眼涩有所缓解,缓解眼涩,1
27,吃蓝莓软糖3个月，眼珠子亮得吓人！...直到刷到这款蓝莓叶黄素酯软糖，一口就被圈粉了!...坚持了三个月，明显感觉眼睛不那么容易疲劳了。,眼珠子亮、疲劳改善,2
28,蓝莓花色苷叶黄素酯软糖：坚持吃了这么久的感受呢就是看一天眼睛不那么累了，也不会觉得疼了。,不累、不疼,1
29,先说说我自己一直在吃的V优思益蓝莓护眼丸作为美瞳党+熬夜党，它真的精准戳中我的刚需...以前戴美瞳盯屏幕两小时就涩到忍不住揉眼睛，现在一整天下来，眼球都扛得住像我一样长时间盯屏、高强度用眼党直接锁它,高强度用眼扛得住,2
30,在红薯上种草了中间 Beche的...我吃了三个月左右，最直观的感受是晚上开车时，路灯和车灯的光晕没那么刺眼了，之前看久了手机眼睛会发雾，现在这种情况也少了，整体用眼舒适度提升不少，视网膜黄斑区的状态都健康了不少,夜间眩光减少、黄斑更健康,3
31,我先吃的左边优思益的...一瓶60粒，每天两粒能吃一个月，说实话，刚开始吃校果不算明显，但坚持两个月后，发现长时间看屏幕时:眼睛没那么容易酸胀了,坚持后酸胀减少,1
32,右边双心是给家里长辈买的，他们年龄大了，担心眼底老化，这款成分比较温和，除了叶黄素还加了越橘提取物，适合日常保养，长辈反馈说看东西比之前清楚些，眼睛也没那么容易干涩了...,看得更清楚,2
33,amerrition是提取的游离态叶黄素，标注纯度60%...对眼睛酸涩、疲劳有很大帮助。我们吃下来，都是感觉眼睛看手机电脑屏幕有明显的轻松感，不会那么容易酸胀了,明显轻松、不酸胀,1
34,双心叶黄素真的这么有效果吗，今天中午就吃了1颗，眼睛就没那么干涩了，平时真的巨巨巨干涩...,吃一颗就缓解,2
35,之前连着吃叶黄素，每天一颗，效果不是很明显。连着2天，每天吃两颗，感觉就挺明显的。之前有2.3个异物，现在就1个了，而且还变小了,异物减少、症状改善,3
36,双心叶黄素是我做了挺多的功课后买的，据说比双心黄色那种效果更好，吃完眼睛不干涩，坚持吃的话眼白更加透亮,更透亮,2
37,坚持每天早上一粒，饭后吃，神奇的是就在写这篇笔记前，我突然发现起码一个星期我没用到人工泪液，但是眼睛现在并没有发黏发干，所以准备继续吃。,不用人工泪液,2
38,德国双心叶黄素 吃了发现人会变黄就没吃了，但是我妈用着不错，眼睛润润的很舒服，她这两年都在吃,眼睛润,1
39,吃了叶黄素度数下降了，同事说她吃了一年叶黄素去测近视度数减了100度，眼睛不干了,近视度数下降100度,3
40,吃了眼睛会变亮，我是吃了一个月下降了50度。如果吃了叶黄素不改掉用眼习惯是没用的，可能成年后还会上涨，正确的用眼习惯很重要,度数下降50度,3
41,吃了amerrition叶黄素眼睛不怎么干了，就是有那种视力显化的感觉，我长时间如果盯着一个地方，能看清楚点!,视力显化、看清楚,2
42,叶黄素+鱼油三个月反馈：早上眼角没有黏糊糊的分泌物了，睁眼是休息好的轻松感。白天看手机、电脑连续1h眼睛只是微酸不会眼前犯模糊，下午眼睛也不会涨涨的很疲惫。晚上眼皮不会有被扯住的紧张感，入睡能更容易还有，出门有一次竟然被朋友问有没有戴美瞳，眼睛亮亮的，总之整个眼睛状态有慢慢提升。,整体状态提升、眼睛更亮,2
