序号,提交答卷时间,所用时间,来源,来源详情,来自IP,1.你在买护眼产品前会查阅科学文献(如 PubMed、指南)吗?,2.你主要通过什么方式了解护眼产品功效?,3. 你认为护眼产品能改善视力或延缓近视吗?,4.你是否担心广告宣传有夸大嫌疑?,5.你是否愿意花时间查阅真正的医学证据?,为什么不愿意花时间查阅真正的医学证据?,"6.你是否需要一个“自动识别广告语真实性""的工具?",7.您的年龄是,8.您的性别是
27,2025/12/11 22:56:39,61秒,微信,N/A,120.239.74.139(广东-广州),经常,小红书/抖音等平台种草┋网购评论┋专业人士建议,不确定,有一点,是,(跳过),是,19岁至45岁,女
28,2025/12/11 22:56:51,74秒,微信,N/A,223.104.72.248(广东-中山),偶尔,小红书/抖音等平台种草┋亲友推荐┋专业人士建议┋学术资料或医学指南,能,经常,是,(跳过),是,19岁至45岁,女
29,2025/12/11 23:39:57,12秒,微信,N/A,27.38.144.102(广东-深圳),很少,小红书/抖音等平台种草,不能,从未考虑过,否,没时间,是,19岁至45岁,男
30,2025/12/12 00:05:45,30秒,微信,N/A,223.104.5.40(上海-上海),经常,专业人士建议,不确定,经常,是,(跳过),是,19岁至45岁,男
31,2025/12/12 00:34:52,26秒,微信,N/A,120.231.184.119(广东-珠海),偶尔,电视广告宣传┋小红书/抖音等平台种草┋网购评论,能,经常,是,(跳过),是,18岁及以下,女
32,2025/12/12 00:36:31,24秒,微信,N/A,120.231.184.119(广东-珠海),很少,小红书/抖音等平台种草┋亲友推荐,能,有一点,否,没时间┋看不懂,是,19岁至45岁,女
33,2025/12/12 00:45:08,11秒,微信,N/A,120.231.184.226(广东-珠海),从不,电视广告宣传┋小红书/抖音等平台种草,不确定,有一点,否,没兴趣┋看不懂,是,46岁至60岁,男
34,2025/12/12 00:45:10,38秒,微信,N/A,119.123.184.80(广东-深圳),偶尔,电视广告宣传┋小红书/抖音等平台种草┋网购评论┋亲友推荐┋专业人士建议┋学术资料或医学指南,能,有一点,是,(跳过),是,19岁至45岁,男
35,2025/12/12 00:58:42,72秒,微信,N/A,125.31.54.82(澳门-澳门半岛),偶尔,小红书/抖音等平台种草┋网购评论,不确定,有一点,是,(跳过),是,19岁至45岁,男
36,2025/12/12 00:59:01,51秒,微信,N/A,149.102.98.197(澳门-未知),很少,电视广告宣传┋小红书/抖音等平台种草┋网购评论┋亲友推荐┋专业人士建议┋学术资料或医学指南,能,经常,是,(跳过),是,19岁至45岁,男
37,2025/12/12 00:59:55,8秒,微信,N/A,112.32.69.169(安徽-合肥),从不,电视广告宣传,能,从未考虑过,是,(跳过),是,18岁及以下,男
38,2025/12/12 01:00:13,7秒,微信,N/A,112.32.69.169(安徽-合肥),很少,小红书/抖音等平台种草,不能,从未考虑过,是,(跳过),否,18岁及以下,男
39,2025/12/12 01:00:25,9秒,微信,N/A,112.32.69.169(安徽-合肥),从不,网购评论,能,从未考虑过,是,(跳过),是,18岁及以下,男
40,2025/12/12 01:00:36,8秒,微信,N/A,112.32.69.169(安徽-合肥),很少,小红书/抖音等平台种草,能,从未考虑过,是,(跳过),是,18岁及以下,男
41,2025/12/12 01:00:51,13秒,微信,N/A,112.32.69.169(安徽-合肥),很少,网购评论,不能,经常,是,(跳过),否,18岁及以下,女
42,2025/12/12 01:01:07,12秒,微信,N/A,112.32.69.169(安徽-合肥),经常,网购评论,不确定,经常,否,看不懂,是,61岁及以上,女
43,2025/12/12 01:01:21,12秒,微信,N/A,112.32.69.169(安徽-合肥),偶尔,网购评论,能,经常,是,(跳过),是,18岁及以下,女
44,2025/12/12 01:01:40,10秒,微信,N/A,112.32.69.169(安徽-合肥),经常,亲友推荐,能,从未考虑过,是,(跳过),否,19岁至45岁,女
45,2025/12/12 01:01:54,12秒,微信,N/A,112.32.69.169(安徽-合肥),很少,小红书/抖音等平台种草,能,有一点,是,(跳过),否,18岁及以下,女
46,2025/12/12 01:02:10,13秒,微信,N/A,112.32.69.169(安徽-合肥),偶尔,网购评论┋学术资料或医学指南,不确定,从未考虑过,否,没兴趣,是,19岁至45岁,男
47,2025/12/12 01:02:25,13秒,微信,N/A,112.32.69.169(安徽-合肥),经常,网购评论┋学术资料或医学指南,不能,经常,是,(跳过),否,19岁至45岁,男
48,2025/12/12 01:02:41,12秒,微信,N/A,112.32.69.169(安徽-合肥),偶尔,网购评论,不能,从未考虑过,否,没兴趣,是,19岁至45岁,男
49,2025/12/12 01:03:29,15秒,微信,N/A,149.102.98.144(澳门-未知),很少,小红书/抖音等平台种草,能,从未考虑过,是,(跳过),是,19岁至45岁,男
50,2025/12/12 01:09:21,13秒,微信,N/A,125.31.54.164(澳门-澳门半岛),从不,电视广告宣传┋学术资料或医学指南,能,从未考虑过,否,没兴趣┋看不懂,否,18岁及以下,男
51,2025/12/12 01:11:17,24秒,微信,N/A,14.26.192.229(广东-珠海),从不,电视广告宣传,不确定,有一点,否,没兴趣,是,19岁至45岁,男
52,2025/12/12 01:12:26,44秒,微信,N/A,202.175.67.187(澳门-未知),从不,小红书/抖音等平台种草┋网购评论,能,经常,否,没兴趣,是,19岁至45岁,女
53,2025/12/12 01:18:10,40秒,微信,N/A,202.175.105.115(澳门-澳门半岛),从不,小红书/抖音等平台种草┋网购评论┋亲友推荐,不确定,经常,否,看不懂,是,19岁至45岁,男
54,2025/12/12 01:20:41,27秒,微信,N/A,223.104.69.128(广东-惠州),很少,小红书/抖音等平台种草,不确定,有一点,否,看不懂,是,19岁至45岁,女
55,2025/12/12 01:21:10,21秒,微信,N/A,222.137.130.148(河南-郑州),从不,小红书/抖音等平台种草,不能,有一点,否,没时间┋看不懂,是,19岁至45岁,女
56,2025/12/12 01:38:32,34秒,微信,N/A,223.73.143.87(广东-汕头),很少,电视广告宣传┋小红书/抖音等平台种草┋亲友推荐┋专业人士建议,不确定,有一点,是,(跳过),否,19岁至45岁,男
57,2025/12/12 03:24:10,65秒,微信,N/A,188.253.112.98(香港-未知),很少,电视广告宣传┋小红书/抖音等平台种草┋网购评论,不能,有一点,否,没兴趣┋没时间┋看不懂,否,19岁至45岁,男
58,2025/12/12 05:32:50,53秒,微信,N/A,223.88.8.35(河南-郑州),偶尔,电视广告宣传┋小红书/抖音等平台种草┋网购评论┋亲友推荐┋专业人士建议┋学术资料或医学指南,不能,经常,是,(跳过),是,19岁至45岁,男
59,2025/12/12 06:53:50,38秒,微信,N/A,183.42.161.249(广东-广州),偶尔,小红书/抖音等平台种草┋网购评论┋亲友推荐┋专业人士建议┋学术资料或医学指南,能,有一点,是,(跳过),是,19岁至45岁,女
60,2025/12/12 07:54:39,39秒,微信,N/A,202.175.67.51(澳门-未知),从不,小红书/抖音等平台种草,能,从未考虑过,否,没时间,是,19岁至45岁,男
61,2025/12/12 08:05:43,109秒,微信,N/A,120.231.235.219(广东-深圳),很少,电视广告宣传┋小红书/抖音等平台种草┋网购评论┋亲友推荐┋专业人士建议┋学术资料或医学指南,能,经常,否,没兴趣┋没时间┋看不懂,是,19岁至45岁,女
62,2025/12/12 08:14:07,52秒,微信,N/A,149.102.98.147(澳门-未知),很少,专业人士建议┋学术资料或医学指南,不确定,经常,否,没时间┋看不懂,是,19岁至45岁,男
63,2025/12/12 08:18:20,34秒,微信,N/A,120.230.50.123(广东-佛山),经常,小红书/抖音等平台种草┋网购评论,不确定,有一点,是,(跳过),是,19岁至45岁,女
64,2025/12/12 08:21:07,32秒,微信,N/A,223.73.113.66(广东-广州),很少,电视广告宣传┋亲友推荐,不确定,有一点,是,(跳过),是,19岁至45岁,男
65,2025/12/12 08:32:53,35秒,微信,N/A,60.233.17.93(山东-济南),从不,小红书/抖音等平台种草┋网购评论┋亲友推荐┋专业人士建议,不确定,经常,是,(跳过),是,19岁至45岁,女
66,2025/12/12 08:48:36,34秒,微信,N/A,223.104.68.194(广东-深圳),从不,小红书/抖音等平台种草,能,有一点,否,没兴趣┋没时间,是,19岁至45岁,女
67,2025/12/12 09:03:01,36秒,微信,N/A,106.34.235.248(河南-郑州),从不,小红书/抖音等平台种草,不确定,有一点,否,没兴趣,是,19岁至45岁,女
68,2025/12/12 09:07:00,23秒,微信,N/A,113.84.81.57(广东-深圳),经常,电视广告宣传┋小红书/抖音等平台种草┋网购评论┋亲友推荐┋专业人士建议┋学术资料或医学指南,不确定,经常,是,(跳过),是,19岁至45岁,男
69,2025/12/12 09:31:16,54秒,微信,N/A,14.31.170.209(广东-广州),很少,小红书/抖音等平台种草┋亲友推荐,不确定,经常,否,其他〖懒〗,是,19岁至45岁,女
70,2025/12/12 09:44:31,26秒,微信,N/A,106.121.81.170(北京-北京),从不,小红书/抖音等平台种草,不确定,有一点,否,没兴趣┋没时间,是,19岁至45岁,男
71,2025/12/12 10:25:50,109秒,微信,N/A,59.39.213.47(广东-东莞),很少,专业人士建议┋学术资料或医学指南,能,经常,是,(跳过),否,19岁至45岁,男
72,2025/12/12 14:23:47,19秒,微信,N/A,223.67.40.231(江苏-泰州),偶尔,学术资料或医学指南,能,有一点,否,没时间,是,61岁及以上,女
73,2025/12/12 14:25:40,30秒,微信,N/A,120.231.184.119(广东-珠海),很少,小红书/抖音等平台种草┋专业人士建议,能,经常,否,没兴趣┋看不懂,是,46岁至60岁,男
74,2025/12/12 14:28:28,28秒,微信,N/A,120.231.184.119(广东-珠海),偶尔,电视广告宣传┋小红书/抖音等平台种草┋网购评论┋亲友推荐┋专业人士建议,能,经常,否,没兴趣┋看不懂,是,19岁至45岁,男
75,2025/12/12 14:46:30,29秒,微信,N/A,120.231.184.119(广东-珠海),很少,电视广告宣传┋小红书/抖音等平台种草┋网购评论┋亲友推荐┋专业人士建议┋学术资料或医学指南,能,从未考虑过,否,没兴趣┋没时间┋看不懂,是,61岁及以上,男
76,2025/12/12 14:47:04,24秒,微信,N/A,120.231.184.119(广东-珠海),偶尔,小红书/抖音等平台种草┋网购评论┋学术资料或医学指南,不能,有一点,否,没时间,是,19岁至45岁,男
77,2025/12/12 15:05:25,36秒,微信,N/A,183.24.54.123(广东-广州),经常,小红书/抖音等平台种草┋亲友推荐,不确定,有一点,是,(跳过),是,19岁至45岁,男
78,2025/12/12 15:46:12,35秒,微信,N/A,112.96.82.119(广东-佛山),从不,网购评论┋亲友推荐┋专业人士建议,不确定,有一点,否,没时间,是,19岁至45岁,男
79,2025/12/12 15:54:47,18秒,微信,N/A,120.231.184.119(广东-珠海),很少,电视广告宣传┋小红书/抖音等平台种草,能,有一点,否,看不懂,是,19岁至45岁,女
80,2025/12/12 15:55:55,30秒,微信,N/A,120.231.184.119(广东-珠海),很少,电视广告宣传┋小红书/抖音等平台种草,能,有一点,否,看不懂,是,18岁及以下,男
81,2025/12/12 15:57:22,26秒,微信,N/A,120.231.184.119(广东-珠海),经常,小红书/抖音等平台种草┋网购评论┋学术资料或医学指南,能,有一点,否,没兴趣┋没时间┋看不懂,是,46岁至60岁,女
82,2025/12/12 15:59:49,26秒,微信,N/A,120.231.184.119(广东-珠海),从不,电视广告宣传┋小红书/抖音等平台种草┋网购评论┋亲友推荐┋专业人士建议┋学术资料或医学指南┋其他,不确定,有一点,否,没兴趣┋没时间┋看不懂┋其他,是,46岁至60岁,女
83,2025/12/12 16:00:18,24秒,微信,N/A,120.231.184.119(广东-珠海),很少,电视广告宣传┋小红书/抖音等平台种草┋专业人士建议┋学术资料或医学指南┋其他,能,经常,否,没兴趣┋没时间┋看不懂┋其他,是,46岁至60岁,男
84,2025/12/12 16:00:43,19秒,微信,N/A,120.231.184.119(广东-珠海),从不,电视广告宣传┋小红书/抖音等平台种草┋网购评论,不确定,有一点,否,没兴趣┋没时间┋看不懂┋其他,是,61岁及以上,女
85,2025/12/12 16:01:12,23秒,微信,N/A,120.231.184.119(广东-珠海),很少,小红书/抖音等平台种草,能,有一点,否,没兴趣┋没时间┋看不懂,是,19岁至45岁,男
86,2025/12/12 16:05:07,40秒,微信,N/A,183.48.245.138(广东-珠海),很少,小红书/抖音等平台种草┋网购评论┋亲友推荐,能,经常,否,没时间,是,19岁至45岁,女
87,2025/12/12 16:05:54,28秒,微信,N/A,183.42.133.213(广东-广州),从不,小红书/抖音等平台种草┋亲友推荐┋学术资料或医学指南,能,有一点,是,(跳过),是,19岁至45岁,女
88,2025/12/12 16:06:21,18秒,微信,N/A,120.231.184.119(广东-珠海),从不,小红书/抖音等平台种草,能,经常,否,没时间┋看不懂,是,19岁至45岁,女
89,2025/12/12 16:07:45,19秒,微信,N/A,120.231.184.119(广东-珠海),从不,电视广告宣传┋小红书/抖音等平台种草┋网购评论┋亲友推荐,不确定,经常,否,没兴趣┋没时间,是,19岁至45岁,女
90,2025/12/12 16:15:30,10秒,微信,N/A,223.104.87.71(广东-广州),从不,电视广告宣传,能,从未考虑过,是,(跳过),是,18岁及以下,男
91,2025/12/12 16:17:19,50秒,微信,N/A,223.104.86.222(广东-广州),很少,小红书/抖音等平台种草┋网购评论┋专业人士建议┋学术资料或医学指南,能,经常,否,没兴趣┋没时间┋看不懂,是,19岁至45岁,男
92,2025/12/12 16:18:06,19秒,微信,N/A,120.231.184.119(广东-珠海),很少,电视广告宣传┋小红书/抖音等平台种草┋网购评论┋亲友推荐,能,经常,否,没兴趣┋没时间┋看不懂,是,19岁至45岁,女
93,2025/12/12 16:18:31,68秒,微信,N/A,115.60.147.39(河南-郑州),很少,小红书/抖音等平台种草┋网购评论,不确定,有一点,否,没时间┋看不懂,是,19岁至45岁,女
94,2025/12/12 16:18:50,19秒,微信,N/A,120.231.184.119(广东-珠海),从不,电视广告宣传┋小红书/抖音等平台种草┋网购评论┋亲友推荐,能,从未考虑过,否,没兴趣┋没时间┋看不懂,是,19岁至45岁,男
95,2025/12/12 16:20:05,21秒,微信,N/A,113.90.83.202(广东-深圳),很少,电视广告宣传┋小红书/抖音等平台种草┋网购评论┋亲友推荐,能,有一点,是,(跳过),是,19岁至45岁,女
96,2025/12/12 16:20:10,28秒,微信,N/A,120.231.184.119(广东-珠海),很少,小红书/抖音等平台种草┋网购评论┋亲友推荐┋专业人士建议,不能,从未考虑过,否,没兴趣┋没时间┋看不懂,否,18岁及以下,男
97,2025/12/12 16:20:50,22秒,微信,N/A,120.231.184.119(广东-珠海),很少,网购评论┋亲友推荐,不确定,有一点,否,看不懂┋其他,是,46岁至60岁,女
98,2025/12/12 16:21:02,27秒,微信,N/A,115.60.147.39(河南-郑州),偶尔,小红书/抖音等平台种草┋专业人士建议┋学术资料或医学指南,能,经常,是,(跳过),是,19岁至45岁,男
99,2025/12/12 16:21:27,40秒,微信,N/A,101.78.148.58(香港-未知),很少,电视广告宣传┋小红书/抖音等平台种草┋网购评论,不确定,经常,否,没时间┋看不懂,是,19岁至45岁,男
100,2025/12/12 16:21:38,65秒,微信,N/A,27.109.159.74(澳门-未知),从不,小红书/抖音等平台种草┋亲友推荐┋专业人士建议,能,从未考虑过,否,没兴趣┋没时间┋看不懂,否,19岁至45岁,女
101,2025/12/12 16:22:16,18秒,微信,N/A,210.231.181.241(国外-日本),很少,电视广告宣传┋小红书/抖音等平台种草┋网购评论┋亲友推荐┋专业人士建议┋学术资料或医学指南┋其他,能,有一点,否,看不懂,是,19岁至45岁,女
102,2025/12/12 16:23:04,34秒,微信,N/A,115.60.147.39(河南-郑州),从不,电视广告宣传┋亲友推荐,能,有一点,否,看不懂,否,61岁及以上,男
